timestamp,cat,activity,location
2020-11-02 16:51:16.542491,otto,hissed,couch
2019-07-06 22:10:38.268795,otto,snoozed,couch
2020-08-14 22:27:48.936497,otto,purred,bathtub
2020-08-22 22:02:12.599011,otto,meowed,bell_hall
2023-03-14 04:12:58.381300,otto,meowed,kitchen
2019-03-19 08:23:09.339115,otto,chomped,national_mall
2021-08-14 15:11:49.031074,ozzy,hissed,seh
2020-11-19 21:13:51.040959,otto,meowed,shelf
2023-04-23 05:08:17.698127,otto,committed_crimes,seh
2019-03-31 16:55:22.735406,otto,meowed,couch
2021-02-04 22:05:33.719372,otto,pondered,couch
2019-11-09 18:25:56.165332,otto,purred,seh
2021-03-06 10:41:13.483147,otto,chomped,couch
2023-01-27 03:16:37.496462,otto,pondered,bell_hall
2019-06-17 09:08:22.504267,ozzy,nibbled,bell_hall
2021-11-24 22:09:34.059722,ozzy,hissed,seh
2020-04-01 22:44:22.083254,ozzy,nibbled,tastykabob
2022-10-12 04:56:08.007560,otto,chomped,couch
2022-11-07 20:36:25.917722,otto,nibbled,national_mall
2020-01-29 22:56:49.393963,otto,snoozed,white_house
2020-09-20 12:39:31.197281,ozzy,hissed,tastykabob
2019-07-23 17:55:17.834023,ozzy,nibbled,bed
2021-08-27 21:08:21.352337,otto,hissed,tastykabob
2019-10-28 15:22:32.894085,ozzy,purred,white_house
2020-07-01 20:37:41.338129,ozzy,jumped,kitchen
2021-07-25 21:04:35.176708,ozzy,committed_crimes,white_house
2021-04-09 13:27:47.443360,otto,committed_crimes,couch
2019-11-26 12:26:35.674523,ozzy,committed_crimes,tastykabob
2020-07-17 03:38:54.457149,otto,hissed,white_house
2020-12-06 02:01:15.107397,ozzy,chomped,tastykabob
2021-12-29 10:27:25.527785,otto,snoozed,tastykabob
2019-03-13 19:29:19.576579,otto,snoozed,seh
2019-12-17 23:57:00.343003,ozzy,committed_crimes,bathtub
2019-04-23 14:01:50.875122,otto,committed_crimes,kitchen
2021-07-20 21:33:48.909508,otto,purred,windowsill
2019-11-09 03:14:29.413022,otto,scratched,windowsill
2020-03-12 11:18:05.266357,otto,nibbled,shelf
2019-06-08 18:32:16.918303,ozzy,purred,bell_hall
2020-08-06 21:01:36.745363,otto,nibbled,bed
2020-09-17 13:56:21.082719,otto,jumped,bell_hall
2020-06-03 08:49:23.079064,otto,purred,white_house
2022-04-30 15:40:39.619957,otto,snoozed,couch
2019-05-09 06:51:43.158036,ozzy,pondered,seh
2021-11-04 21:26:45.708727,ozzy,chomped,shelf
2019-10-01 20:02:25.485206,ozzy,nibbled,couch
2019-07-25 16:34:11.725863,otto,chomped,tastykabob
2020-05-06 21:33:05.431775,otto,meowed,couch
2020-03-31 02:56:38.631738,ozzy,scratched,national_mall
2023-03-27 01:31:16.146465,otto,nibbled,bathtub
2020-07-13 07:38:25.416319,otto,scratched,bathtub
2020-09-15 16:24:06.204023,otto,chomped,kitchen
2021-08-23 08:53:33.014430,ozzy,jumped,national_mall
2022-12-18 12:42:39.433200,ozzy,committed_crimes,couch
2021-05-13 09:07:17.450941,otto,scratched,bed
2023-03-16 13:03:09.406964,otto,jumped,shelf
2022-09-29 03:16:25.617045,ozzy,jumped,couch
2022-08-18 01:49:44.690203,otto,snoozed,bell_hall
2020-12-04 11:52:34.881807,otto,hissed,couch
2021-03-12 23:01:31.928256,ozzy,chomped,shelf
2021-10-02 02:49:37.099081,otto,chomped,bell_hall
2019-11-10 17:58:33.412157,otto,chomped,national_mall
2020-07-19 05:28:28.550692,ozzy,jumped,shelf
2021-02-12 06:35:30.378939,ozzy,jumped,kitchen
2022-10-08 10:14:53.260017,otto,committed_crimes,seh
2021-08-02 04:19:34.735533,otto,pondered,bell_hall
2022-07-23 11:10:31.174086,otto,snoozed,windowsill
